metodo,T_max_C,dT_vs_paper_K,RMSE_total_K,RMSE_zoom_K,MAE_total_K,emax_total_K,bias_total_K,n_nodos_total,n_nodos_zoom
FEM_paper_COMSOL,70.6,0.0,0,0,0,0,0,0,0
FEM_FEniCSx,71.2668,0.6668,0,0,0,0,0,0,0
"PINN 64×4 (optim_B, Kennelly)",70.1854,-0.4146,3.008285,2.795878,2.304152,11.668829,1.597352,2055286,140098
"PINN 128×5 (optim_C, baseline)",70.1807,-0.4193,3.775036,2.799227,2.909514,11.843268,1.778341,2055286,140098
"PINN 128×5 (optim_C, destilado)",70.1697,-0.4303,2.913864,2.807472,2.370116,11.277502,0.98728,2055286,140098
